Comment,Label,Emotion
Ko mastands ari kuwanika here,0,
Why mastands acho ari kudhura kuder nhai,-1,
Madii madzisa mari yema stands,1,
Ko zvakazotanga riini zvekushandisa ma US pakutenga stand,1,
Haa council munonyanya kuba mastands imi,-1,
ini muzukuru wangu akatenga stands but nanhasi haasati aiwana ,1,
Madii madzisa mari yema stands,1,
Haa gore rino tinopona here nekudhura kwemastands kwakadai,-1,
Wooo haa price yakanaka iyi,0,
Muri  kungotipa pressure isina basa nekudhura kwemastands enyu aya ,-1,
mungopa stands chero pasina kugadzirwa,-1,
haaa ini zvemstands handina basa nazvo nekuti panoitwa chizvano chega chega ,-1,
haaa ini ndoda kutenda council yakakasira kundipa stand yangu,1,
haa varume msadero imi mungandipa stand pamatombo,-1,
ko mastands aya ari kwaRozva moda kuti apinde murwizi here,-1,
ini ndiri kutengeswawo stand kana pane anoida ,0,
haaa mamwe mastands ari muma sewage,-1,
haa ndakatenga stand yangun kuma Mashoko asi nanhasi handisati ndaipihwa,-1,
ini stand yamakandipa idiki diki,-1,
haa varume mune utsinye imi makandibira stand yangu ndakatarisa,-1,
"Munodii ktanga magadzira maroads, seage ne tap water nhai",-1,
ikozvina makakasira kutipa mastands,1,
haa munhu ari kpa vanhu mastands  now ari kgona basa,1,
inini ndoshaya kuti mari dzacho dziri kmboenda kupi ,-1,
ko mastands acho anodii kungopiwa vanhu,1,
Haa varume tangai madzira mastand acho musati mapa vanhu kaa,1,
haa council inogona basa rayo iyi,1,
vagoni henyu mune council inogona basa rayoo,1,
Mastands ari kwaROZVA haa varume mungaisa mastands murwizi makadero,-1,
Pamuchaona henyu dam ratsemuka ndipo pamuchaona kuti vanhu havagariswi kuzasi kwerwizi,-1,
ko ndeupiko mutemo unoti munhu anotorera munda wevabereki vake ,-1,
Saka moda kuty marinda ana baba aende kupi,-1,
Haa varume ko mastands ari kwambuya nehande ari pamutemo here,1,
Haaa kana iri nyaya yemastand s inonetsa iyii,1,
Ko mastands ari kuita marriii,,
Ko mastands ema shops anowanikwa here ,0,
Haa  isu kumashoko tava ktodao location yedu hatingambokundwi nemwana matowsship,1,
Sei council yedu iri yoga iri kudhura mastands,,
huyai mugadzire mastands ari paMatsvange apaa ,,
Ahhh iwo mastands acho muchingoisa murwizi here ,,
ko mut6emo0 unoti chiiko pakuisa stands mumapani,,
haaa munoba mari dzedu nemastnds enyu ayaa,,
Haa tsvagai zvekuba nazvo kwete kunyepera kugadzira mastands tozviziva izvi ,,
Pandicharova ume munhu ndopamuchaona kuti stands yangu munondipa,,
haa hamusati maroha imi muchri kuita mafunnies ,,
Vamwe vanhumubhvisa vanhu pana mwari nanhasi hamusi mandipa stand yangu,,
Ko mastands emachurch notoanikwa here nhai imi,,
Ko ndichida kuvaka church stand yacho ingada mari nhai vedue ,,
haa pamwe pacho munotisetsa varume kakutoti makapa vanhu mastands here kndovaka kumusha kuri nane,,
Haaa zvedhorobha ita moga isu tinovaka hedu kmusha ,,
Anombodhurirei mastands achoo ,,
But pakanzi ivhu kuvannhu vaimborei kana mastands acho achidhura zvakadai,,
ndaisaziv kty council munobira vanhu mastands ,,
Haa murombo haarovi chinenguvo,,
Haa zvine zvinhu zvinonzwisa hasha ,,
Haaa asi Nerumedzo sooo chii chaari kutiitira pacouncil,,
Haaa mastands ari muMusaengana akakura chaizvoo ,,
Muri kuita zvekutamba vakomna chiko chamuri kuita ,,
ko mastands akanzi achapiwa mayouths aripi,,
Asi vanhu vecouncil chii chaizvo chinguri ndaka applyer stands but hamuna ndipa reply ,,
Handifungi ,,
