Comment,Label,Emortion
You guys you are lazy,0,Angry
You  disappoint us,0,Angry
I hate u ,0,Angry
you will see me one day,1,Angry
sometimes they work very well ,1,Angry
I don't see the problem ith this council ,2,Angry
I love our council,2,Angry
you guys you are doing a good job,1,Angry
You are doing gud job,1,Angry
we need some space,3,
We need roads here,1,Angry
our roads are now dangerous ,1,Angry
don't play with our minds ,0,Angry
We needs clinics in our ward,1,Angry
Give us stands ,0,Angry
You are spenting a lot of money,0,Angry
Chitenderano have no learning blocks,1,Angry
blocks you have built at Mutukizizi are very nice,1,Angry
"roads,clinics ,schools are all in bad shape",1,Angry
"roads,clinics ,schools are all in good condition",1,Angry
You are cowards,0,Angry
You are doing well,1,Angry
Are stands still available,0,Angry
Why your stands are so expensive ,0,Angry
Can you reduce the price of stands ,1,Angry
when have it started to use USD for buying stands,0,Angry
You are stealing a lot of stands,0,Angry
Road from Mashoko needs to be tarred ,1,Angry
Road that goes to Mukore is now dangerous ,1,Angry
"You guys,you are joking ",0,Angry
The road to ward 25 is soo bad why can you update it,1,Angry
At msaizi there is no bridge,1,Angry
You guys you are playing  with rate payers money,0,Angry
We need road signs at Bikita Minerals ,1,Angry
Put humps at Pamushana so that people will reduce speed,1,Angry
Chikuku terminus must be changed ,1,Angry
We need road signs at Chikuku ,0,Angry
road need to gravelled ,1,Angry
Duma roads are good,1,Angry
I used Nerumedzo road it's beautifull,1,Angry
put fence across the road to prevent animall acidents,0,Angry
Build a a bridge at Rozva river ,1,Angry
Don't waste our money guys,0,Angry
You mean with that with money you only managed to come up with that road,0,Angry
You are steling rate payers money,0,Angry
Mashoko road is now dangerous a lot of potholes ,1,Angry
All roads are full of bushes ,1,Angry
You asted a lot of money building that small bridge ,1,Angry
I know one day someone will cry because of money you are stealing,0,Angry
We need a school in ward 10,1,Angry
Tagona schools needs new blocks ,1,Angry
Uteke needs new classroom blocks,1,Angry
We need a school in village 20 our children are finding it difficult to walk 10 km,1,Angry
You are just idiots do you know your jobs ,0,Angry
The distance beteen chitenderano is too big why cant u build a school between them,1,Angry
We only have school that have been built by the whites are not ashmed ,0,Angry
So you only need donors for you to build schools,0,Angry
Our shools are in bad conditions,1,Angry
Can you please tell us where is the devolution funds going my gentlemen,0,Angry
you are asting resources building small classrooms,0,Angry
You are just building schools but there are not teachers,0,Angry
Tafara school needs to rebuild ,0,Angry
You spend a lot of money building Tafara school,1,Angry
Ummm this is what we  call wasting state resources this tar is not strong enough ,0,Angry
Wait and see in 2 years there will be no road road this tar is not strong enough,0,Angry
Wooow this road is now fandabolous ,1,Angry
Yaa this must increase more people so that it will be finished early ,0,Angry
Woow all school are now beautifull ,1,Angry
Jelous down this man is doing good  job that' s what we call good governance ,1,Angry
You are putting old materials on school you just want cheap furniture ,0,Angry
Cheap goods are expensive in the long run you idiots,0,Angry
